municipality,service_name,phone,website
Kristiansand,Innbyggerservice,+47 38 07 50 00,https://www.kristiansand.kommune.no
Stavanger,Innbyggerservice,+47 51 50 70 90,https://www.stavanger.kommune.no
Trondheim,Kontakt servicetorg,+47 72 54 00 00,https://www.trondheim.kommune.no
